mach,sodt,thoigianmoban,version,matp
1,(730) 210-0444,2024-03-14 23:18:18.349000,0,18
2,(557) 376-3043,2021-09-16 05:07:24.176000,0,18
3,(380) 931-1472,2021-01-09 00:04:30.082000,0,18
4,(830) 440-4188,2023-10-06 17:58:47.444000,0,18
5,(689) 946-8993,2023-09-07 09:00:35.987000,0,18
6,(730) 215-0783,2022-02-02 22:12:11.282000,0,18
7,(305) 299-2319,2023-04-01 15:24:20.275000,0,18
8,(440) 549-4911,2024-12-28 16:36:33.481000,0,18
9,(983) 908-2339,2020-03-12 04:14:16.457000,0,18
10,(475) 575-7801,2021-06-01 01:25:52.225000,0,18
11,(305) 992-0902,2023-07-04 13:33:24.289000,0,18
12,(505) 646-9947,2021-10-01 05:17:57.456000,0,18
13,(305) 275-8376,2024-09-13 05:54:29.555000,0,18
14,(530) 220-3273,2023-10-11 00:28:19.749000,0,18
15,(305) 849-4841,2020-01-04 11:30:04.414000,0,18
16,(305) 821-0403,2021-08-24 06:06:36.147000,0,18
17,(983) 916-9217,2021-09-07 00:08:13.759000,0,18
18,(305) 569-1478,2022-03-29 10:16:42.300000,0,18
19,(305) 751-3651,2020-07-30 16:06:15.659000,0,18
20,(252) 765-6432,2024-04-02 04:06:19.624000,0,18
21,(573) 448-0771,2023-11-30 23:35:21.971000,0,18
22,(983) 889-8019,2020-04-23 17:33:30.202000,0,18
23,(472) 478-1387,2024-11-15 19:39:27.346000,0,18
24,(472) 203-0542,2022-12-25 08:36:34.724000,0,18
25,(505) 721-3985,2021-11-04 03:39:54.797000,0,18
26,(730) 629-6543,2024-01-26 22:01:14.144000,0,18
27,(983) 886-2546,2020-06-25 05:28:49.297000,0,18
28,(660) 281-3867,2022-06-20 00:24:58.155000,0,18
29,(983) 781-0780,2021-08-08 03:11:29.641000,0,18
30,(730) 636-6843,2023-01-01 14:10:00.681000,0,18
31,(472) 496-7536,2024-09-16 15:41:36.812000,0,18
32,(305) 224-9824,2024-12-30 04:05:24.774000,0,18
33,(305) 207-5119,2023-08-30 00:04:36.350000,0,18
34,(623) 228-8951,2021-07-01 17:34:17.446000,0,18
35,(305) 231-4538,2022-01-12 21:42:43.848000,0,18
36,(805) 685-5300,2020-01-02 02:19:24.031000,0,18
37,(730) 227-2944,2023-03-20 02:36:54.976000,0,18
38,(757) 893-3521,2023-08-26 05:13:14.958000,0,18
39,(505) 691-5329,2023-08-14 04:07:38.206000,0,18
40,(730) 246-2303,2023-03-28 11:45:43.765000,0,18
41,(928) 687-4337,2023-03-03 10:43:27.357000,0,18
42,(505) 687-9421,2021-05-16 18:12:57.403000,0,18
43,(730) 682-9611,2024-05-29 00:19:50.670000,0,18
44,(305) 263-9164,2022-12-28 08:07:00.539000,0,18
45,(835) 292-8336,2021-07-30 09:06:59.121000,0,18
46,(505) 551-7666,2020-02-29 07:22:39.600000,0,18
47,(269) 848-7854,2021-01-11 10:12:48.159000,0,18
48,(317) 916-6027,2021-06-16 18:55:34.446000,0,18
49,(505) 694-7314,2024-09-11 01:38:50.900000,0,18
50,(505) 429-7323,2021-01-19 13:49:08.429000,0,18
